1	1	0
1	2	1
1	3	1
2	1	1
2	2	0
2	3	0
3	1	0
3	2	1
3	3	0
4	1	0
4	2	1
4	3	0
5	1	0
5	2	1
5	3	0
6	1	1
6	2	1
6	3	0
7	1	1
7	2	1
7	3	1
8	1	1
8	2	1
8	3	0
9	1	1
9	2	0
9	3	1
10	1	1
10	2	0
10	3	0
11	1	1
11	2	0
11	3	0
12	1	0
12	2	0
12	3	1
13	1	1
13	2	0
13	3	0
14	1	1
14	2	1
14	3	0
15	1	0
15	2	1
15	3	1
16	1	0
16	2	1
16	3	1
17	1	1
17	2	1
17	3	1
18	1	0
18	2	0
18	3	1
19	1	1
19	2	0
19	3	0
20	1	0
20	2	0
20	3	1
21	1	1
21	2	1
21	3	0
22	1	0
22	2	0
22	3	1
23	1	1
23	2	1
23	3	0
24	1	1
24	2	1
24	3	0
25	1	0
25	2	1
25	3	1
26	1	0
26	2	0
26	3	1
27	1	1
27	2	1
27	3	0
28	1	0
28	2	0
28	3	0
29	1	0
29	2	0
29	3	1
30	1	1
30	2	1
30	3	0
31	1	0
31	2	1
31	3	0
32	1	1
32	2	0
32	3	1
